2026-09-08 02:47:34,396 INFO    MainThread:3445100 [wandb_setup.py:_flush():81] Current SDK version is 0.28.2
2026-09-08 02:47:34,397 INFO    MainThread:3445100 [wandb_setup.py:_flush():81] Configure stats pid to 3445100
2026-09-08 02:47:34,397 INFO    MainThread:3445100 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-09-08 02:47:34,397 INFO    MainThread:3445100 [wandb_init.py:setup_run_log_directory():739] Logging user logs to /home2/sian/summer-project/clip/wandb/run-20260908_024734-bmonutk7/logs/debug.log
2026-09-08 02:47:34,397 INFO    MainThread:3445100 [wandb_init.py:setup_run_log_directory():740] Logging internal logs to /home2/sian/summer-project/clip/wandb/run-20260908_024734-bmonutk7/logs/debug-internal.log
2026-09-08 02:47:34,397 INFO    MainThread:3445100 [wandb_init.py:init():783] calling init triggers
2026-09-08 02:47:34,398 INFO    MainThread:3445100 [wandb_init.py:init():788] wandb.init called with sweep_config: {}
config: {'run': 'toy-clip', 'datapath': '../data/Flickr8k/images', 'annotations': '../data/Flickr8k/text/Flickr8k.token.txt', 'vit_pretrained_path': '../vision_transformer/checkpoints/vit-cutmix.pt', 'checkpoint_path': 'checkpoints/toy-clip.pt', 'embed_dim': 256, 'batch_size': 32, 'epochs': 20, 'learning_rate': 0.0001, '_wandb': {}}
2026-09-08 02:47:34,398 INFO    MainThread:3445100 [wandb_init.py:init():831] starting backend
2026-09-08 02:47:34,398 INFO    MainThread:3445100 [wandb_init.py:init():846] sending inform_init request
2026-09-08 02:47:34,703 INFO    MainThread:3445100 [wandb_init.py:init():851] backend started and connected
2026-09-08 02:47:34,710 INFO    MainThread:3445100 [wandb_init.py:init():921] updated telemetry
2026-09-08 02:47:34,726 INFO    MainThread:3445100 [wandb_init.py:init():944] communicating run to backend with 90.0 second timeout
2026-09-08 02:47:35,864 INFO    MainThread:3445100 [wandb_init.py:init():981] starting run threads in backend
2026-09-08 02:47:36,097 INFO    MainThread:3445100 [wandb_run.py:_console_start():2626] atexit reg
2026-09-08 02:47:36,097 INFO    MainThread:3445100 [wandb_run.py:_redirect():2476] redirect: wrap_raw
2026-09-08 02:47:36,097 INFO    MainThread:3445100 [wandb_run.py:_redirect():2545] Wrapping output streams.
2026-09-08 02:47:36,097 INFO    MainThread:3445100 [wandb_run.py:_redirect():2568] Redirects installed.
2026-09-08 02:47:36,108 INFO    MainThread:3445100 [wandb_init.py:init():1019] run started, returning control to user process
