W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] 
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] *****************************************
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] *****************************************
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home2/sian/.netrc.
wandb: Currently logged in as: sian-shinjo (sian-shinjo-iiit-hyderabad) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run agjb1au6
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home2/sian/summer-project/vision-transformer/wandb/run-20260822_144142-agjb1au6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run vit-baseline
wandb: ⭐️ View project at https://wandb.ai/sian-shinjo-iiit-hyderabad/vision-transformer
wandb: 🚀 View run at https://wandb.ai/sian-shinjo-iiit-hyderabad/vision-transformer/runs/agjb1au6
Starting training from scratch...
epoch: 1/300	current LR: 0.000059	trainloss: 2.2056	trainacc: 18.80%	testacc: 26.64%
epoch: 2/300	current LR: 0.000109	trainloss: 2.0564	trainacc: 27.18%	testacc: 37.95%
epoch: 3/300	current LR: 0.000159	trainloss: 1.8115	trainacc: 37.91%	testacc: 53.23%
epoch: 4/300	current LR: 0.000208	trainloss: 1.7243	trainacc: 40.65%	testacc: 53.95%
epoch: 5/300	current LR: 0.000258	trainloss: 1.6180	trainacc: 45.11%	testacc: 55.73%
epoch: 6/300	current LR: 0.000307	trainloss: 1.6059	trainacc: 45.81%	testacc: 55.48%
epoch: 7/300	current LR: 0.000357	trainloss: 1.6184	trainacc: 45.49%	testacc: 56.65%
epoch: 8/300	current LR: 0.000406	trainloss: 1.6090	trainacc: 45.47%	testacc: 54.97%
epoch: 9/300	current LR: 0.000456	trainloss: 1.6085	trainacc: 44.79%	testacc: 53.03%
epoch: 10/300	current LR: 0.000505	trainloss: 1.6731	trainacc: 43.36%	testacc: 48.65%
epoch: 11/300	current LR: 0.000555	trainloss: 1.7375	trainacc: 40.34%	testacc: 46.26%
epoch: 12/300	current LR: 0.000604	trainloss: 1.8011	trainacc: 37.66%	testacc: 48.24%
epoch: 13/300	current LR: 0.000654	trainloss: 1.8324	trainacc: 36.60%	testacc: 47.12%
epoch: 14/300	current LR: 0.000703	trainloss: 1.8559	trainacc: 35.42%	testacc: 45.85%
epoch: 15/300	current LR: 0.000753	trainloss: 1.8816	trainacc: 35.48%	testacc: 39.48%
epoch: 16/300	current LR: 0.000802	trainloss: 1.9376	trainacc: 32.38%	testacc: 35.91%
epoch: 17/300	current LR: 0.000852	trainloss: 1.9353	trainacc: 31.95%	testacc: 35.46%
epoch: 18/300	current LR: 0.000901	trainloss: 2.0260	trainacc: 28.72%	testacc: 33.42%
epoch: 19/300	current LR: 0.000951	trainloss: 2.0215	trainacc: 28.95%	testacc: 35.61%
/home2/sian/summer-project/vision-transformer/.venv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:198: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch: 20/300	current LR: 0.001000	trainloss: 1.9802	trainacc: 30.14%	testacc: 41.77%
/home2/sian/summer-project/vision-transformer/.venv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:198: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch: 21/300	current LR: 0.001000	trainloss: 1.9556	trainacc: 30.98%	testacc: 37.09%
epoch: 22/300	current LR: 0.001000	trainloss: 2.0406	trainacc: 27.31%	testacc: 32.40%
epoch: 23/300	current LR: 0.001000	trainloss: 2.0348	trainacc: 28.32%	testacc: 33.83%
epoch: 24/300	current LR: 0.000999	trainloss: 2.0243	trainacc: 27.37%	testacc: 31.53%
epoch: 25/300	current LR: 0.000999	trainloss: 2.0548	trainacc: 27.27%	testacc: 32.40%
epoch: 26/300	current LR: 0.000999	trainloss: 2.1030	trainacc: 24.48%	testacc: 31.89%
epoch: 27/300	current LR: 0.000998	trainloss: 2.0600	trainacc: 26.63%	testacc: 33.52%
epoch: 28/300	current LR: 0.000998	trainloss: 2.0576	trainacc: 27.27%	testacc: 33.01%
epoch: 29/300	current LR: 0.000997	trainloss: 2.0470	trainacc: 27.56%	testacc: 35.35%
epoch: 30/300	current LR: 0.000997	trainloss: 2.0328	trainacc: 27.65%	testacc: 32.91%
epoch: 31/300	current LR: 0.000996	trainloss: 1.9957	trainacc: 30.07%	testacc: 36.02%
epoch: 32/300	current LR: 0.000995	trainloss: 2.0156	trainacc: 29.04%	testacc: 35.05%
epoch: 33/300	current LR: 0.000995	trainloss: 2.0139	trainacc: 28.83%	testacc: 36.98%
