epoch,lr,trainloss,trainacc,testloss,testacc
1,0.000059,2.2056,18.80,2.0434,26.64
2,0.000109,2.0564,27.18,1.7477,37.95
3,0.000159,1.8115,37.91,1.3996,53.23
4,0.000208,1.7243,40.65,1.3749,53.95
5,0.000258,1.6180,45.11,1.3621,55.73
6,0.000307,1.6059,45.81,1.3194,55.48
7,0.000357,1.6184,45.49,1.3320,56.65
8,0.000406,1.6090,45.47,1.3587,54.97
9,0.000456,1.6085,44.79,1.3593,53.03
10,0.000505,1.6731,43.36,1.5599,48.65
11,0.000555,1.7375,40.34,1.5552,46.26
12,0.000604,1.8011,37.66,1.5291,48.24
13,0.000654,1.8324,36.60,1.5705,47.12
14,0.000703,1.8559,35.42,1.6373,45.85
15,0.000753,1.8816,35.48,1.7133,39.48
16,0.000802,1.9376,32.38,1.8285,35.91
17,0.000852,1.9353,31.95,1.8214,35.46
18,0.000901,2.0260,28.72,1.9170,33.42
19,0.000951,2.0215,28.95,1.8699,35.61
20,0.001000,1.9802,30.14,1.7474,41.77
21,0.001000,1.9556,30.98,1.8354,37.09
22,0.001000,2.0406,27.31,1.9090,32.40
23,0.001000,2.0348,28.32,1.8885,33.83
24,0.000999,2.0243,27.37,1.9432,31.53
25,0.000999,2.0548,27.27,1.9251,32.40
26,0.000999,2.1030,24.48,1.9439,31.89
27,0.000998,2.0600,26.63,1.9011,33.52
28,0.000998,2.0576,27.27,1.9154,33.01
29,0.000997,2.0470,27.56,1.8539,35.35
30,0.000997,2.0328,27.65,1.8750,32.91
31,0.000996,1.9957,30.07,1.8526,36.02
32,0.000995,2.0156,29.04,1.8423,35.05
33,0.000995,2.0139,28.83,1.8515,36.98
34,0.000994,2.0046,28.72,1.8395,35.71
35,0.000993,2.0049,29.90,1.8946,34.03
36,0.000992,2.0219,28.34,1.8788,33.93
37,0.000991,1.9849,29.55,1.8165,36.63
38,0.000990,1.9733,29.42,1.8719,33.27
39,0.000989,1.9758,30.43,1.8490,33.32
40,0.000987,1.9732,30.60,1.8434,34.79
41,0.000986,1.9440,32.16,1.9124,33.72
42,0.000985,1.9283,32.84,1.8218,37.95
