epoch,lr,trainloss,trainacc,testloss,testacc
1,0.000059,2.2735,15.73,2.1055,23.03
2,0.000109,2.2329,19.94,1.9347,30.67
3,0.000159,2.1609,24.31,1.7861,38.31
4,0.000208,2.1126,25.89,1.6822,42.49
5,0.000258,2.0808,30.10,1.6541,43.35
6,0.000307,2.0583,30.03,1.5937,45.75
7,0.000357,2.0378,30.79,1.5592,49.72
8,0.000406,2.0464,30.37,1.7316,41.67
9,0.000456,2.0331,31.87,1.5567,51.20
10,0.000505,2.0659,29.61,1.6964,40.35
11,0.000555,2.0737,28.34,1.7196,42.44
12,0.000604,2.1034,26.63,1.6409,49.01
13,0.000654,2.1084,26.93,1.8385,38.21
14,0.000703,2.1396,24.63,1.8696,37.09
15,0.000753,2.1493,24.73,1.8354,37.44
16,0.000802,2.1464,24.20,1.8862,34.23
17,0.000852,2.1355,24.69,1.8784,30.77
18,0.000901,2.1398,25.07,1.8392,36.78
19,0.000951,2.1307,25.55,1.7319,43.45
20,0.001000,2.1216,26.48,1.8487,38.97
21,0.001000,2.1260,25.26,1.7733,41.16
22,0.001000,2.1164,25.30,1.8777,35.91
23,0.001000,2.1275,24.27,1.7919,40.80
24,0.000999,2.1212,25.79,1.8130,40.19
25,0.000999,2.0994,26.84,1.7734,37.85
26,0.000999,2.1057,26.40,1.7628,42.33
27,0.000998,2.0885,27.77,1.7491,40.04
28,0.000998,2.0952,28.19,1.7719,40.96
29,0.000997,2.1091,26.72,1.7388,40.30
30,0.000997,2.1043,27.62,1.8308,39.12
31,0.000996,2.1024,27.84,1.7890,40.30
32,0.000995,2.1105,26.74,1.8163,35.71
33,0.000995,2.1150,26.57,1.7690,41.31
34,0.000994,2.0974,27.50,1.7651,41.21
35,0.000993,2.1482,24.84,1.8677,36.53
36,0.000992,2.1165,26.74,1.7905,40.04
37,0.000991,2.0960,27.31,1.7688,42.28
38,0.000990,2.1023,26.25,1.7821,40.96
39,0.000989,2.1057,27.14,1.8020,37.54
40,0.000987,2.0945,27.92,1.8235,38.41
41,0.000986,2.0984,27.77,1.7402,39.99
42,0.000985,2.0748,29.12,1.6642,47.12
43,0.000983,2.1125,26.65,1.8789,36.07
44,0.000982,2.1031,27.56,1.6921,44.27
45,0.000980,2.0995,27.98,1.7963,38.87
46,0.000979,2.0805,28.00,1.7849,38.51
47,0.000977,2.0832,28.03,1.7804,39.38
48,0.000976,2.1114,27.14,1.7650,39.84
49,0.000974,2.0939,28.66,1.7537,43.30
50,0.000972,2.0779,28.74,1.7377,43.20
51,0.000970,2.0698,28.76,1.6992,43.50
52,0.000968,2.0538,30.05,1.6583,44.22
53,0.000966,2.0520,30.12,1.6951,44.98
54,0.000964,2.0791,28.32,1.7286,40.24
55,0.000962,2.0525,30.39,1.6650,45.95
56,0.000960,2.0711,28.57,1.7137,40.96
57,0.000958,2.0363,30.43,1.6223,46.05
58,0.000955,2.0381,31.55,1.6627,44.98
59,0.000953,2.0448,30.10,1.6082,47.22
60,0.000951,2.0584,30.45,1.6153,48.19
61,0.000948,2.0251,31.40,1.6791,43.76
62,0.000946,2.0430,30.96,1.6690,44.78
63,0.000943,2.0412,31.85,1.6391,45.03
64,0.000940,2.0268,31.78,1.5998,45.80
65,0.000938,2.0324,30.83,1.6153,48.34
66,0.000935,2.0282,30.75,1.6164,49.06
67,0.000932,2.0064,32.48,1.5997,47.02
68,0.000929,2.0200,32.16,1.5746,48.60
69,0.000926,2.0259,31.72,1.5872,50.94
70,0.000923,1.9997,32.78,1.5605,49.87
71,0.000920,1.9728,33.77,1.5081,50.53
72,0.000917,2.0162,31.68,1.5954,50.64
73,0.000914,1.9913,33.26,1.5443,48.60
74,0.000911,1.9810,33.26,1.5946,49.77
75,0.000908,1.9817,34.40,1.4712,52.67
76,0.000905,1.9829,33.52,1.5476,49.62
77,0.000901,1.9558,34.85,1.4902,54.10
78,0.000898,1.9727,34.34,1.4695,54.05
79,0.000894,1.9703,33.98,1.5040,52.47
80,0.000891,1.9663,35.52,1.5003,52.57
81,0.000888,1.9630,34.93,1.4689,52.98
82,0.000884,1.9587,35.23,1.4184,54.36
83,0.000880,1.9586,35.80,1.4700,53.08
84,0.000877,1.9167,37.42,1.4224,56.14
85,0.000873,1.9195,37.09,1.3662,56.55
86,0.000869,1.9348,37.17,1.3696,58.69
87,0.000865,1.9302,36.96,1.4295,54.81
88,0.000862,1.9215,37.47,1.4118,55.93
89,0.000858,1.9218,37.09,1.3419,58.79
90,0.000854,1.9261,37.89,1.3731,57.31
91,0.000850,1.9179,38.01,1.3361,57.67
92,0.000846,1.9016,38.75,1.3462,58.07
93,0.000842,1.8905,38.50,1.2979,60.11
94,0.000837,1.9119,37.15,1.4284,58.33
95,0.000833,1.8839,39.18,1.3286,57.56
96,0.000829,1.8831,39.87,1.3101,61.39
97,0.000825,1.8784,39.58,1.2609,61.39
98,0.000821,1.8866,38.12,1.2481,60.26
99,0.000816,1.8570,39.87,1.2027,63.27
100,0.000812,1.8703,39.64,1.2432,59.96
101,0.000808,1.8744,39.85,1.2840,60.32
102,0.000803,1.8477,40.61,1.3108,59.14
103,0.000799,1.8279,41.44,1.3401,58.94
104,0.000794,1.8545,39.70,1.2365,61.33
105,0.000790,1.8648,40.21,1.2239,62.20
106,0.000785,1.8320,41.69,1.2141,64.54
107,0.000780,1.8265,41.73,1.2319,63.47
108,0.000776,1.8356,42.30,1.1711,64.29
