Starting training from scratch...
epoch: 1/100	current LR: 0.000208	trainloss: 2.2056	trainacc: 18.80%	testacc: 26.64%
epoch: 2/100	current LR: 0.000406	trainloss: 2.0856	trainacc: 26.57%	testacc: 39.94%
epoch: 3/100	current LR: 0.000604	trainloss: 1.8961	trainacc: 34.34%	testacc: 47.89%
epoch: 4/100	current LR: 0.000802	trainloss: 1.9300	trainacc: 32.95%	testacc: 39.33%
/home2/sian/summer-project/vision-transformer/.venv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:198: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch: 5/100	current LR: 0.001000	trainloss: 1.9909	trainacc: 29.71%	testacc: 31.84%
epoch: 6/100	current LR: 0.001000	trainloss: 2.1157	trainacc: 24.90%	testacc: 30.26%
epoch: 7/100	current LR: 0.000999	trainloss: 2.1101	trainacc: 24.77%	testacc: 25.37%
epoch: 8/100	current LR: 0.000998	trainloss: 2.1200	trainacc: 23.46%	testacc: 22.92%
epoch: 9/100	current LR: 0.000996	trainloss: 2.0769	trainacc: 26.25%	testacc: 29.90%
epoch: 10/100	current LR: 0.000993	trainloss: 2.0870	trainacc: 26.25%	testacc: 28.94%
epoch: 11/100	current LR: 0.000990	trainloss: 2.0674	trainacc: 25.34%	testacc: 27.76%
epoch: 12/100	current LR: 0.000987	trainloss: 2.0845	trainacc: 25.36%	testacc: 31.53%
epoch: 13/100	current LR: 0.000983	trainloss: 2.0626	trainacc: 26.42%	testacc: 32.04%
epoch: 14/100	current LR: 0.000978	trainloss: 2.0525	trainacc: 26.80%	testacc: 32.14%
epoch: 15/100	current LR: 0.000973	trainloss: 2.0962	trainacc: 24.73%	testacc: 26.59%
epoch: 16/100	current LR: 0.000967	trainloss: 2.0931	trainacc: 24.73%	testacc: 31.23%
epoch: 17/100	current LR: 0.000961	trainloss: 2.1009	trainacc: 24.46%	testacc: 26.03%
epoch: 18/100	current LR: 0.000955	trainloss: 2.0969	trainacc: 24.46%	testacc: 29.14%
epoch: 19/100	current LR: 0.000947	trainloss: 2.1072	trainacc: 25.26%	testacc: 27.41%
epoch: 20/100	current LR: 0.000940	trainloss: 2.0972	trainacc: 24.52%	testacc: 27.87%
epoch: 21/100	current LR: 0.000932	trainloss: 2.0646	trainacc: 26.15%	testacc: 31.53%
epoch: 22/100	current LR: 0.000923	trainloss: 2.0512	trainacc: 26.42%	testacc: 30.62%
epoch: 23/100	current LR: 0.000914	trainloss: 2.0662	trainacc: 26.29%	testacc: 30.36%
epoch: 24/100	current LR: 0.000905	trainloss: 2.0738	trainacc: 25.68%	testacc: 31.89%
epoch: 25/100	current LR: 0.000895	trainloss: 2.0516	trainacc: 25.87%	testacc: 29.44%
epoch: 26/100	current LR: 0.000884	trainloss: 2.0921	trainacc: 24.54%	testacc: 28.27%
epoch: 27/100	current LR: 0.000874	trainloss: 2.1035	trainacc: 24.56%	testacc: 28.58%
epoch: 28/100	current LR: 0.000862	trainloss: 2.0754	trainacc: 25.70%	testacc: 30.67%
epoch: 29/100	current LR: 0.000851	trainloss: 2.0696	trainacc: 26.61%	testacc: 32.30%
epoch: 30/100	current LR: 0.000839	trainloss: 2.0585	trainacc: 25.81%	testacc: 30.26%
epoch: 31/100	current LR: 0.000826	trainloss: 2.0499	trainacc: 27.37%	testacc: 33.21%
epoch: 32/100	current LR: 0.000814	trainloss: 2.0775	trainacc: 25.64%	testacc: 31.28%
epoch: 33/100	current LR: 0.000801	trainloss: 2.0735	trainacc: 25.60%	testacc: 29.85%
epoch: 34/100	current LR: 0.000787	trainloss: 2.0657	trainacc: 25.79%	testacc: 30.82%
epoch: 35/100	current LR: 0.000774	trainloss: 2.0870	trainacc: 25.07%	testacc: 29.29%
epoch: 36/100	current LR: 0.000760	trainloss: 2.0523	trainacc: 27.37%	testacc: 34.03%
epoch: 37/100	current LR: 0.000745	trainloss: 2.0411	trainacc: 27.27%	testacc: 32.60%
epoch: 38/100	current LR: 0.000731	trainloss: 2.0381	trainacc: 26.48%	testacc: 32.25%
epoch: 39/100	current LR: 0.000716	trainloss: 2.0274	trainacc: 28.68%	testacc: 30.92%
epoch: 40/100	current LR: 0.000701	trainloss: 2.0115	trainacc: 28.74%	testacc: 33.98%
epoch: 41/100	current LR: 0.000686	trainloss: 2.0072	trainacc: 28.89%	testacc: 33.21%
epoch: 42/100	current LR: 0.000670	trainloss: 2.0011	trainacc: 28.95%	testacc: 33.93%
epoch: 43/100	current LR: 0.000655	trainloss: 1.9930	trainacc: 29.46%	testacc: 35.20%
epoch: 44/100	current LR: 0.000639	trainloss: 2.0056	trainacc: 28.57%	testacc: 35.51%
epoch: 45/100	current LR: 0.000623	trainloss: 2.0050	trainacc: 29.65%	testacc: 35.00%
epoch: 46/100	current LR: 0.000607	trainloss: 2.0081	trainacc: 29.25%	testacc: 34.95%
epoch: 47/100	current LR: 0.000591	trainloss: 2.0269	trainacc: 28.36%	testacc: 31.28%
epoch: 48/100	current LR: 0.000575	trainloss: 2.0987	trainacc: 24.63%	testacc: 34.13%
epoch: 49/100	current LR: 0.000558	trainloss: 2.0550	trainacc: 26.55%	testacc: 29.75%
epoch: 50/100	current LR: 0.000542	trainloss: 2.0409	trainacc: 28.00%	testacc: 32.65%
epoch: 51/100	current LR: 0.000525	trainloss: 2.0270	trainacc: 28.38%	testacc: 34.59%
epoch: 52/100	current LR: 0.000509	trainloss: 1.9937	trainacc: 30.01%	testacc: 32.91%
epoch: 53/100	current LR: 0.000492	trainloss: 2.0201	trainacc: 28.03%	testacc: 30.97%
epoch: 54/100	current LR: 0.000476	trainloss: 2.0376	trainacc: 27.67%	testacc: 34.44%
epoch: 55/100	current LR: 0.000459	trainloss: 2.0046	trainacc: 29.29%	testacc: 34.13%
epoch: 56/100	current LR: 0.000443	trainloss: 2.0228	trainacc: 28.62%	testacc: 34.79%
epoch: 57/100	current LR: 0.000426	trainloss: 1.9968	trainacc: 30.94%	testacc: 35.76%
epoch: 58/100	current LR: 0.000410	trainloss: 1.9972	trainacc: 29.48%	testacc: 34.28%
epoch: 59/100	current LR: 0.000394	trainloss: 1.9895	trainacc: 30.12%	testacc: 34.84%
epoch: 60/100	current LR: 0.000378	trainloss: 1.9846	trainacc: 29.63%	testacc: 36.07%
epoch: 61/100	current LR: 0.000362	trainloss: 1.9897	trainacc: 29.42%	testacc: 35.30%
epoch: 62/100	current LR: 0.000346	trainloss: 1.9489	trainacc: 31.45%	testacc: 35.51%
epoch: 63/100	current LR: 0.000331	trainloss: 1.9783	trainacc: 30.22%	testacc: 35.40%
epoch: 64/100	current LR: 0.000315	trainloss: 1.9740	trainacc: 29.44%	testacc: 32.55%
epoch: 65/100	current LR: 0.000300	trainloss: 1.9815	trainacc: 29.86%	testacc: 35.46%
epoch: 66/100	current LR: 0.000285	trainloss: 1.9895	trainacc: 30.20%	testacc: 37.49%
epoch: 67/100	current LR: 0.000270	trainloss: 1.9828	trainacc: 31.00%	testacc: 38.16%
epoch: 68/100	current LR: 0.000256	trainloss: 1.9809	trainacc: 29.65%	testacc: 36.78%
epoch: 69/100	current LR: 0.000241	trainloss: 1.9714	trainacc: 30.54%	testacc: 37.24%
epoch: 70/100	current LR: 0.000227	trainloss: 1.9554	trainacc: 30.71%	testacc: 38.41%
epoch: 71/100	current LR: 0.000214	trainloss: 1.9412	trainacc: 30.98%	testacc: 38.36%
epoch: 72/100	current LR: 0.000200	trainloss: 1.9454	trainacc: 31.97%	testacc: 37.70%
epoch: 73/100	current LR: 0.000187	trainloss: 1.9410	trainacc: 31.70%	testacc: 37.49%
epoch: 74/100	current LR: 0.000175	trainloss: 1.9170	trainacc: 32.88%	testacc: 39.17%
epoch: 75/100	current LR: 0.000162	trainloss: 1.9358	trainacc: 32.08%	testacc: 38.41%
epoch: 76/100	current LR: 0.000150	trainloss: 1.9009	trainacc: 34.07%	testacc: 38.97%
epoch: 77/100	current LR: 0.000139	trainloss: 1.9264	trainacc: 33.58%	testacc: 37.75%
epoch: 78/100	current LR: 0.000127	trainloss: 1.9063	trainacc: 33.20%	testacc: 39.53%
epoch: 79/100	current LR: 0.000117	trainloss: 1.9094	trainacc: 32.99%	testacc: 40.55%
epoch: 80/100	current LR: 0.000106	trainloss: 1.9010	trainacc: 33.79%	testacc: 40.09%
epoch: 81/100	current LR: 0.000096	trainloss: 1.8761	trainacc: 35.46%	testacc: 40.70%
epoch: 82/100	current LR: 0.000087	trainloss: 1.8984	trainacc: 34.00%	testacc: 40.24%
epoch: 83/100	current LR: 0.000078	trainloss: 1.8824	trainacc: 34.23%	testacc: 41.16%
epoch: 84/100	current LR: 0.000069	trainloss: 1.8805	trainacc: 35.02%	testacc: 40.75%
epoch: 85/100	current LR: 0.000061	trainloss: 1.8933	trainacc: 34.26%	testacc: 40.75%
epoch: 86/100	current LR: 0.000054	trainloss: 1.8751	trainacc: 34.72%	testacc: 41.16%
epoch: 87/100	current LR: 0.000046	trainloss: 1.8672	trainacc: 34.47%	testacc: 39.58%
epoch: 88/100	current LR: 0.000040	trainloss: 1.8609	trainacc: 35.31%	testacc: 40.70%
epoch: 89/100	current LR: 0.000034	trainloss: 1.8957	trainacc: 34.87%	testacc: 41.52%
epoch: 90/100	current LR: 0.000028	trainloss: 1.8769	trainacc: 35.52%	testacc: 40.50%
epoch: 91/100	current LR: 0.000023	trainloss: 1.8564	trainacc: 35.25%	testacc: 41.01%
epoch: 92/100	current LR: 0.000018	trainloss: 1.8575	trainacc: 35.67%	testacc: 40.70%
epoch: 93/100	current LR: 0.000014	trainloss: 1.8404	trainacc: 36.30%	testacc: 41.26%
epoch: 94/100	current LR: 0.000011	trainloss: 1.8750	trainacc: 34.78%	testacc: 41.21%
epoch: 95/100	current LR: 0.000008	trainloss: 1.8705	trainacc: 34.95%	testacc: 41.21%
epoch: 96/100	current LR: 0.000005	trainloss: 1.8648	trainacc: 35.71%	testacc: 41.93%
epoch: 97/100	current LR: 0.000003	trainloss: 1.8579	trainacc: 35.21%	testacc: 41.47%
epoch: 98/100	current LR: 0.000002	trainloss: 1.8627	trainacc: 35.42%	testacc: 41.62%
epoch: 99/100	current LR: 0.000001	trainloss: 1.8503	trainacc: 35.92%	testacc: 41.31%
epoch: 100/100	current LR: 0.000001	trainloss: 1.8507	trainacc: 35.56%	testacc: 41.47%
