Starting training from scratch...
epoch: 1/100	current LR: 0.000208	trainloss: 2.2735	trainacc: 15.73%	testacc: 23.03%
epoch: 2/100	current LR: 0.000406	trainloss: 2.2723	trainacc: 18.99%	testacc: 27.15%
epoch: 3/100	current LR: 0.000604	trainloss: 2.1998	trainacc: 22.30%	testacc: 36.42%
epoch: 4/100	current LR: 0.000802	trainloss: 2.1933	trainacc: 22.34%	testacc: 26.44%
/home2/sian/summer-project/vision-transformer/.venv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:198: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch: 5/100	current LR: 0.001000	trainloss: 2.1976	trainacc: 21.77%	testacc: 24.35%
epoch: 6/100	current LR: 0.001000	trainloss: 2.2642	trainacc: 17.38%	testacc: 26.39%
epoch: 7/100	current LR: 0.000999	trainloss: 2.2223	trainacc: 20.13%	testacc: 26.03%
epoch: 8/100	current LR: 0.000998	trainloss: 2.2253	trainacc: 19.56%	testacc: 24.45%
epoch: 9/100	current LR: 0.000996	trainloss: 2.2277	trainacc: 19.20%	testacc: 27.36%
epoch: 10/100	current LR: 0.000993	trainloss: 2.2364	trainacc: 17.82%	testacc: 29.19%
epoch: 11/100	current LR: 0.000990	trainloss: 2.2112	trainacc: 20.34%	testacc: 29.24%
epoch: 12/100	current LR: 0.000987	trainloss: 2.2250	trainacc: 19.07%	testacc: 31.02%
epoch: 13/100	current LR: 0.000983	trainloss: 2.1961	trainacc: 21.33%	testacc: 33.01%
epoch: 14/100	current LR: 0.000978	trainloss: 2.2162	trainacc: 18.80%	testacc: 25.42%
epoch: 15/100	current LR: 0.000973	trainloss: 2.2104	trainacc: 20.59%	testacc: 29.90%
epoch: 16/100	current LR: 0.000967	trainloss: 2.1970	trainacc: 21.01%	testacc: 30.11%
epoch: 17/100	current LR: 0.000961	trainloss: 2.1837	trainacc: 22.32%	testacc: 27.87%
epoch: 18/100	current LR: 0.000955	trainloss: 2.1782	trainacc: 22.37%	testacc: 31.13%
epoch: 19/100	current LR: 0.000947	trainloss: 2.1895	trainacc: 22.03%	testacc: 33.52%
epoch: 20/100	current LR: 0.000940	trainloss: 2.1892	trainacc: 22.07%	testacc: 27.92%
epoch: 21/100	current LR: 0.000932	trainloss: 2.1919	trainacc: 21.77%	testacc: 30.01%
epoch: 22/100	current LR: 0.000923	trainloss: 2.1607	trainacc: 23.21%	testacc: 32.09%
epoch: 23/100	current LR: 0.000914	trainloss: 2.1835	trainacc: 23.00%	testacc: 33.72%
epoch: 24/100	current LR: 0.000905	trainloss: 2.1952	trainacc: 21.22%	testacc: 26.49%
epoch: 25/100	current LR: 0.000895	trainloss: 2.1693	trainacc: 23.06%	testacc: 32.40%
epoch: 26/100	current LR: 0.000884	trainloss: 2.1664	trainacc: 22.20%	testacc: 34.64%
epoch: 27/100	current LR: 0.000874	trainloss: 2.1711	trainacc: 22.68%	testacc: 30.82%
epoch: 28/100	current LR: 0.000862	trainloss: 2.1612	trainacc: 23.42%	testacc: 33.11%
epoch: 29/100	current LR: 0.000851	trainloss: 2.1575	trainacc: 23.51%	testacc: 34.74%
epoch: 30/100	current LR: 0.000839	trainloss: 2.1735	trainacc: 22.26%	testacc: 32.40%
epoch: 31/100	current LR: 0.000826	trainloss: 2.1562	trainacc: 24.18%	testacc: 33.88%
epoch: 32/100	current LR: 0.000814	trainloss: 2.1473	trainacc: 24.86%	testacc: 34.08%
epoch: 33/100	current LR: 0.000801	trainloss: 2.1386	trainacc: 25.15%	testacc: 37.44%
epoch: 34/100	current LR: 0.000787	trainloss: 2.1243	trainacc: 25.51%	testacc: 36.07%
epoch: 35/100	current LR: 0.000774	trainloss: 2.1832	trainacc: 22.49%	testacc: 27.87%
epoch: 36/100	current LR: 0.000760	trainloss: 2.1833	trainacc: 21.73%	testacc: 30.51%
epoch: 37/100	current LR: 0.000745	trainloss: 2.1573	trainacc: 23.82%	testacc: 28.17%
epoch: 38/100	current LR: 0.000731	trainloss: 2.1794	trainacc: 21.92%	testacc: 29.39%
epoch: 39/100	current LR: 0.000716	trainloss: 2.2019	trainacc: 20.63%	testacc: 29.55%
epoch: 40/100	current LR: 0.000701	trainloss: 2.1834	trainacc: 22.03%	testacc: 29.39%
epoch: 41/100	current LR: 0.000686	trainloss: 2.1846	trainacc: 22.45%	testacc: 31.38%
epoch: 42/100	current LR: 0.000670	trainloss: 2.1594	trainacc: 23.51%	testacc: 34.34%
epoch: 43/100	current LR: 0.000655	trainloss: 2.1506	trainacc: 24.12%	testacc: 36.12%
epoch: 44/100	current LR: 0.000639	trainloss: 2.1519	trainacc: 24.31%	testacc: 36.98%
epoch: 45/100	current LR: 0.000623	trainloss: 2.1515	trainacc: 23.67%	testacc: 37.49%
epoch: 46/100	current LR: 0.000607	trainloss: 2.1299	trainacc: 24.03%	testacc: 35.35%
epoch: 47/100	current LR: 0.000591	trainloss: 2.1216	trainacc: 26.04%	testacc: 39.28%
epoch: 48/100	current LR: 0.000575	trainloss: 2.1389	trainacc: 24.96%	testacc: 38.05%
epoch: 49/100	current LR: 0.000558	trainloss: 2.1401	trainacc: 24.94%	testacc: 39.12%
epoch: 50/100	current LR: 0.000542	trainloss: 2.1229	trainacc: 25.26%	testacc: 40.80%
epoch: 51/100	current LR: 0.000525	trainloss: 2.1108	trainacc: 26.34%	testacc: 39.07%
epoch: 52/100	current LR: 0.000509	trainloss: 2.1107	trainacc: 27.10%	testacc: 40.80%
epoch: 53/100	current LR: 0.000492	trainloss: 2.0992	trainacc: 27.60%	testacc: 42.54%
epoch: 54/100	current LR: 0.000476	trainloss: 2.1032	trainacc: 27.84%	testacc: 40.91%
epoch: 55/100	current LR: 0.000459	trainloss: 2.0877	trainacc: 28.38%	testacc: 43.35%
epoch: 56/100	current LR: 0.000443	trainloss: 2.1032	trainacc: 26.42%	testacc: 42.54%
epoch: 57/100	current LR: 0.000426	trainloss: 2.0825	trainacc: 27.75%	testacc: 42.33%
epoch: 58/100	current LR: 0.000410	trainloss: 2.0859	trainacc: 28.70%	testacc: 40.19%
epoch: 59/100	current LR: 0.000394	trainloss: 2.0891	trainacc: 27.29%	testacc: 43.00%
epoch: 60/100	current LR: 0.000378	trainloss: 2.0927	trainacc: 28.19%	testacc: 39.48%
epoch: 61/100	current LR: 0.000362	trainloss: 2.0694	trainacc: 30.03%	testacc: 43.76%
epoch: 62/100	current LR: 0.000346	trainloss: 2.0625	trainacc: 29.46%	testacc: 44.68%
epoch: 63/100	current LR: 0.000331	trainloss: 2.0569	trainacc: 29.67%	testacc: 41.57%
epoch: 64/100	current LR: 0.000315	trainloss: 2.0562	trainacc: 29.65%	testacc: 44.22%
epoch: 65/100	current LR: 0.000300	trainloss: 2.0648	trainacc: 29.48%	testacc: 45.24%
epoch: 66/100	current LR: 0.000285	trainloss: 2.0558	trainacc: 29.21%	testacc: 44.98%
epoch: 67/100	current LR: 0.000270	trainloss: 2.0542	trainacc: 29.27%	testacc: 46.20%
epoch: 68/100	current LR: 0.000256	trainloss: 2.0580	trainacc: 29.38%	testacc: 44.68%
