2026-08-22 13:58:40,960 INFO    MainThread:2916586 [wandb_setup.py:_flush():81] Current SDK version is 0.28.2
2026-08-22 13:58:40,961 INFO    MainThread:2916586 [wandb_setup.py:_flush():81] Configure stats pid to 2916586
2026-08-22 13:58:40,961 INFO    MainThread:2916586 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-08-22 13:58:40,961 INFO    MainThread:2916586 [wandb_init.py:setup_run_log_directory():739] Logging user logs to /home2/sian/summer-project/vision-transformer/wandb/run-20260822_135840-bc3ykuex/logs/debug.log
2026-08-22 13:58:40,961 INFO    MainThread:2916586 [wandb_init.py:setup_run_log_directory():740] Logging internal logs to /home2/sian/summer-project/vision-transformer/wandb/run-20260822_135840-bc3ykuex/logs/debug-internal.log
2026-08-22 13:58:40,961 INFO    MainThread:2916586 [wandb_init.py:init():783] calling init triggers
2026-08-22 13:58:40,961 INFO    MainThread:2916586 [wandb_init.py:init():788] wandb.init called with sweep_config: {}
config: {'run': 'vit-baseline', 'directory': '../data', 'checkpoint_path': 'checkpoints/vit-baseline.pt', 'csv_path': 'logs/vit-baseline_metrics.csv', 'imagedim': 224, 'batchsize': 32, 'lr': 0.001, 'min_lr': 1e-06, 'num_classes': 10, 'drop_prob': 0.1, 'weight_decay': 0.05, 'epochs': 300, 'warmup': 20, 'with_cutmix': False, '_wandb': {}}
2026-08-22 13:58:40,961 INFO    MainThread:2916586 [wandb_init.py:init():831] starting backend
2026-08-22 13:58:40,962 INFO    MainThread:2916586 [wandb_init.py:init():846] sending inform_init request
2026-08-22 13:58:41,204 INFO    MainThread:2916586 [wandb_init.py:init():851] backend started and connected
2026-08-22 13:58:41,244 INFO    MainThread:2916586 [wandb_init.py:init():921] updated telemetry
2026-08-22 13:58:41,256 INFO    MainThread:2916586 [wandb_init.py:init():944] communicating run to backend with 90.0 second timeout
2026-08-22 13:58:42,362 INFO    MainThread:2916586 [wandb_init.py:init():981] starting run threads in backend
2026-08-22 13:58:42,460 INFO    MainThread:2916586 [wandb_run.py:_console_start():2626] atexit reg
2026-08-22 13:58:42,460 INFO    MainThread:2916586 [wandb_run.py:_redirect():2476] redirect: wrap_raw
2026-08-22 13:58:42,460 INFO    MainThread:2916586 [wandb_run.py:_redirect():2545] Wrapping output streams.
2026-08-22 13:58:42,460 INFO    MainThread:2916586 [wandb_run.py:_redirect():2568] Redirects installed.
2026-08-22 13:58:42,465 INFO    MainThread:2916586 [wandb_init.py:init():1019] run started, returning control to user process
