Starting training from scratch...
epoch: 1/300	current LR: 0.000059	trainloss: 2.2735	trainacc: 15.73%	testacc: 23.03%
epoch: 2/300	current LR: 0.000109	trainloss: 2.2329	trainacc: 19.94%	testacc: 30.67%
epoch: 3/300	current LR: 0.000159	trainloss: 2.1609	trainacc: 24.31%	testacc: 38.31%
epoch: 4/300	current LR: 0.000208	trainloss: 2.1126	trainacc: 25.89%	testacc: 42.49%
epoch: 5/300	current LR: 0.000258	trainloss: 2.0808	trainacc: 30.10%	testacc: 43.35%
epoch: 6/300	current LR: 0.000307	trainloss: 2.0583	trainacc: 30.03%	testacc: 45.75%
epoch: 7/300	current LR: 0.000357	trainloss: 2.0378	trainacc: 30.79%	testacc: 49.72%
epoch: 8/300	current LR: 0.000406	trainloss: 2.0464	trainacc: 30.37%	testacc: 41.67%
epoch: 9/300	current LR: 0.000456	trainloss: 2.0331	trainacc: 31.87%	testacc: 51.20%
epoch: 10/300	current LR: 0.000505	trainloss: 2.0659	trainacc: 29.61%	testacc: 40.35%
epoch: 11/300	current LR: 0.000555	trainloss: 2.0737	trainacc: 28.34%	testacc: 42.44%
epoch: 12/300	current LR: 0.000604	trainloss: 2.1034	trainacc: 26.63%	testacc: 49.01%
epoch: 13/300	current LR: 0.000654	trainloss: 2.1084	trainacc: 26.93%	testacc: 38.21%
epoch: 14/300	current LR: 0.000703	trainloss: 2.1396	trainacc: 24.63%	testacc: 37.09%
epoch: 15/300	current LR: 0.000753	trainloss: 2.1493	trainacc: 24.73%	testacc: 37.44%
epoch: 16/300	current LR: 0.000802	trainloss: 2.1464	trainacc: 24.20%	testacc: 34.23%
epoch: 17/300	current LR: 0.000852	trainloss: 2.1355	trainacc: 24.69%	testacc: 30.77%
epoch: 18/300	current LR: 0.000901	trainloss: 2.1398	trainacc: 25.07%	testacc: 36.78%
epoch: 19/300	current LR: 0.000951	trainloss: 2.1307	trainacc: 25.55%	testacc: 43.45%
/home2/sian/summer-project/vision-transformer/.venv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:198: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch: 20/300	current LR: 0.001000	trainloss: 2.1216	trainacc: 26.48%	testacc: 38.97%
epoch: 21/300	current LR: 0.001000	trainloss: 2.1260	trainacc: 25.26%	testacc: 41.16%
epoch: 22/300	current LR: 0.001000	trainloss: 2.1164	trainacc: 25.30%	testacc: 35.91%
epoch: 23/300	current LR: 0.001000	trainloss: 2.1275	trainacc: 24.27%	testacc: 40.80%
epoch: 24/300	current LR: 0.000999	trainloss: 2.1212	trainacc: 25.79%	testacc: 40.19%
epoch: 25/300	current LR: 0.000999	trainloss: 2.0994	trainacc: 26.84%	testacc: 37.85%
epoch: 26/300	current LR: 0.000999	trainloss: 2.1057	trainacc: 26.40%	testacc: 42.33%
epoch: 27/300	current LR: 0.000998	trainloss: 2.0885	trainacc: 27.77%	testacc: 40.04%
epoch: 28/300	current LR: 0.000998	trainloss: 2.0952	trainacc: 28.19%	testacc: 40.96%
epoch: 29/300	current LR: 0.000997	trainloss: 2.1091	trainacc: 26.72%	testacc: 40.30%
epoch: 30/300	current LR: 0.000997	trainloss: 2.1043	trainacc: 27.62%	testacc: 39.12%
epoch: 31/300	current LR: 0.000996	trainloss: 2.1024	trainacc: 27.84%	testacc: 40.30%
epoch: 32/300	current LR: 0.000995	trainloss: 2.1105	trainacc: 26.74%	testacc: 35.71%
epoch: 33/300	current LR: 0.000995	trainloss: 2.1150	trainacc: 26.57%	testacc: 41.31%
epoch: 34/300	current LR: 0.000994	trainloss: 2.0974	trainacc: 27.50%	testacc: 41.21%
epoch: 35/300	current LR: 0.000993	trainloss: 2.1482	trainacc: 24.84%	testacc: 36.53%
epoch: 36/300	current LR: 0.000992	trainloss: 2.1165	trainacc: 26.74%	testacc: 40.04%
epoch: 37/300	current LR: 0.000991	trainloss: 2.0960	trainacc: 27.31%	testacc: 42.28%
epoch: 38/300	current LR: 0.000990	trainloss: 2.1023	trainacc: 26.25%	testacc: 40.96%
epoch: 39/300	current LR: 0.000989	trainloss: 2.1057	trainacc: 27.14%	testacc: 37.54%
epoch: 40/300	current LR: 0.000987	trainloss: 2.0945	trainacc: 27.92%	testacc: 38.41%
epoch: 41/300	current LR: 0.000986	trainloss: 2.0984	trainacc: 27.77%	testacc: 39.99%
epoch: 42/300	current LR: 0.000985	trainloss: 2.0748	trainacc: 29.12%	testacc: 47.12%
epoch: 43/300	current LR: 0.000983	trainloss: 2.1125	trainacc: 26.65%	testacc: 36.07%
epoch: 44/300	current LR: 0.000982	trainloss: 2.1031	trainacc: 27.56%	testacc: 44.27%
epoch: 45/300	current LR: 0.000980	trainloss: 2.0995	trainacc: 27.98%	testacc: 38.87%
epoch: 46/300	current LR: 0.000979	trainloss: 2.0805	trainacc: 28.00%	testacc: 38.51%
epoch: 47/300	current LR: 0.000977	trainloss: 2.0832	trainacc: 28.03%	testacc: 39.38%
epoch: 48/300	current LR: 0.000976	trainloss: 2.1114	trainacc: 27.14%	testacc: 39.84%
epoch: 49/300	current LR: 0.000974	trainloss: 2.0939	trainacc: 28.66%	testacc: 43.30%
epoch: 50/300	current LR: 0.000972	trainloss: 2.0779	trainacc: 28.74%	testacc: 43.20%
epoch: 51/300	current LR: 0.000970	trainloss: 2.0698	trainacc: 28.76%	testacc: 43.50%
epoch: 52/300	current LR: 0.000968	trainloss: 2.0538	trainacc: 30.05%	testacc: 44.22%
epoch: 53/300	current LR: 0.000966	trainloss: 2.0520	trainacc: 30.12%	testacc: 44.98%
epoch: 54/300	current LR: 0.000964	trainloss: 2.0791	trainacc: 28.32%	testacc: 40.24%
epoch: 55/300	current LR: 0.000962	trainloss: 2.0525	trainacc: 30.39%	testacc: 45.95%
epoch: 56/300	current LR: 0.000960	trainloss: 2.0711	trainacc: 28.57%	testacc: 40.96%
epoch: 57/300	current LR: 0.000958	trainloss: 2.0363	trainacc: 30.43%	testacc: 46.05%
epoch: 58/300	current LR: 0.000955	trainloss: 2.0381	trainacc: 31.55%	testacc: 44.98%
epoch: 59/300	current LR: 0.000953	trainloss: 2.0448	trainacc: 30.10%	testacc: 47.22%
epoch: 60/300	current LR: 0.000951	trainloss: 2.0584	trainacc: 30.45%	testacc: 48.19%
epoch: 61/300	current LR: 0.000948	trainloss: 2.0251	trainacc: 31.40%	testacc: 43.76%
epoch: 62/300	current LR: 0.000946	trainloss: 2.0430	trainacc: 30.96%	testacc: 44.78%
epoch: 63/300	current LR: 0.000943	trainloss: 2.0412	trainacc: 31.85%	testacc: 45.03%
epoch: 64/300	current LR: 0.000940	trainloss: 2.0268	trainacc: 31.78%	testacc: 45.80%
epoch: 65/300	current LR: 0.000938	trainloss: 2.0324	trainacc: 30.83%	testacc: 48.34%
